name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
la paz mexico,2011-01-12,20,0.1,11.6,20,-1.7,10.9,3.3,61,0,0,0,,,,,22.3,336.5,1017.6,34.6,13.5,241.1,20.8,9,,2011-01-12T07:12:22,2011-01-12T18:16:02,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2011-01-13,22,-1.9,9.4,22,-1.9,9.1,3.3,69.7,0.304,100,8.33,rain,,,,13.5,323.9,1018.5,63.4,9.7,184.9,16,7,,2011-01-13T07:12:28,2011-01-13T18:16:41,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,76683099999,76685099999,MMMX,76675099999,MMTO"
la paz mexico,2011-01-14,22.8,2.1,11.6,22.8,0.9,11.2,2.6,61.4,0,0,0,,,,,15,27.4,1016.1,37.1,9.9,238.7,20.6,9,,2011-01-14T07:12:34,2011-01-14T18:17:20,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2011-01-15,23.7,4.1,13.6,23.7,2.2,13.5,2.9,52.8,0,0,0,,,,,14.4,175.8,1012.1,48.6,12.3,234.2,20.3,9,,2011-01-15T07:12:38,2011-01-15T18:18:00,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,76683099999,76685099999,MMMX,76675099999"
la paz mexico,2011-01-16,25.7,1.4,14.1,25.7,1.4,13.9,0.5,43.4,0,0,0,,,,,20.9,244.3,1009.9,11.5,17.8,245.5,21.1,9,,2011-01-16T07:12:41,2011-01-16T18:18:39,0.43,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,remote,76683099999,MMMX,76681099999,MMPB,76680099999,MMCB,76685099999,76675099999,MMTO"
la paz mexico,2011-01-17,21.9,-1.9,10.4,21.9,-1.9,10.2,-3.1,44.8,0,0,0,,,,,24.1,199.8,1009.9,20.3,13.3,246.9,21.2,9,,2011-01-17T07:12:42,2011-01-17T18:19:17,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,remote,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2011-01-18,23.4,-1.9,12.5,23.4,-1.9,12.2,-2.2,40.7,0,0,0,,,,31.3,25.9,90.9,1011.2,12.2,14.8,244.7,21.1,9,,2011-01-18T07:12:42,2011-01-18T18:19:56,0.49,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,76683099999,76685099999,MMMX,76675099999"
la paz mexico,2011-01-19,24.8,1.1,13.1,24.8,-0.6,12.8,-3.8,37.9,0,0,0,,,,,18.4,128.7,1012.2,7.6,12.6,244.3,21,9,,2011-01-19T07:12:41,2011-01-19T18:20:35,0.5,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,remote,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2011-01-20,25.4,8.3,14.6,25.4,8.3,14.6,-4.1,30,0,0,0,,,,,25.9,270.9,1009.5,7.1,15.6,249.8,21.5,9,,2011-01-20T07:12:39,2011-01-20T18:21:13,0.51,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2011-01-21,25.1,0.1,13.9,25.1,-1.7,13.8,-2.2,37.8,0,0,0,,,,37.1,19.2,232,1007.9,4.9,12.4,251.7,21.7,9,,2011-01-21T07:12:36,2011-01-21T18:21:52,0.52,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2011-01-22,26.1,-1.9,13.9,26.1,-4,13.6,-1.9,37.7,0,0,0,,,,,20.2,164.8,1008,6,14.3,253.4,22,9,,2011-01-22T07:12:31,2011-01-22T18:22:30,0.55,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,remote,76683099999,76685099999,76675099999"
la paz mexico,2011-01-23,24.3,6.1,14.5,24.3,5.6,14.3,-1.4,35.8,0,0,0,,,,,28.5,112.1,1007.5,6,18.8,254.8,22,9,,2011-01-23T07:12:25,2011-01-23T18:23:07,0.59,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2011-01-24,23.3,6.7,13.9,23.3,6.7,13.8,-1,38.5,0,0,0,,,,,27.7,169.4,1007.7,36.6,17.7,236.5,20.4,9,,2011-01-24T07:12:17,2011-01-24T18:23:45,0.64,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2011-01-25,28,-1.9,13.9,26.6,-4,13.7,-1.4,39.7,0,0,0,,,,,10,117.1,1009.1,19,15.4,259.1,22.3,9,,2011-01-25T07:12:08,2011-01-25T18:24:22,0.7,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,76683099999,76685099999,MMMX,76675099999"
la paz mexico,2011-01-26,22.5,0.1,12.1,22.5,0.1,11.7,1.2,51.9,0,0,0,,,,,25.9,105.9,1010.5,41.6,12.1,239.2,20.7,8,,2011-01-26T07:11:58,2011-01-26T18:24:59,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,76683099999,76685099999,76675099999,MMMX"
